repo_name,repo_url,login,profile_url,location,country
react,https://github.com/facebook/react,rickhanlonii,https://github.com/rickhanlonii,EST. AKRON,Brazil
flutter,https://github.com/flutter/flutter,Mairramer,https://github.com/Mairramer,Brazil,Brazil
transformers,https://github.com/huggingface/transformers,forest1988,https://github.com/forest1988,Japan,Japan
ollama,https://github.com/ollama/ollama,Rajathbail,https://github.com/Rajathbail,"Bangalore, India",India
yt-dlp,https://github.com/yt-dlp/yt-dlp,Grub4K,https://github.com/Grub4K,"Idstein, Germany",Germany
flutter,https://github.com/flutter/flutter,farchond,https://github.com/farchond,"New York, NY",United States
PowerToys,https://github.com/microsoft/PowerToys,palenshus,https://github.com/palenshus,"Seattle, WA, USA",United States
transformers,https://github.com/huggingface/transformers,huseinzol05,https://github.com/huseinzol05,"Kedah, Malaysia",Malaysia
next.js,https://github.com/vercel/next.js,eps1lon,https://github.com/eps1lon,"Berlin, Germany",Germany
vscode,https://github.com/microsoft/vscode,nknguyenhc,https://github.com/nknguyenhc,Singapore,Singapore
bootstrap,https://github.com/twbs/bootstrap,ysds,https://github.com/ysds,Japan,Japan
bootstrap,https://github.com/twbs/bootstrap,mendozagioo,https://github.com/mendozagioo,"Colima, Mexico",Mexico
flutter,https://github.com/flutter/flutter,dreveman,https://github.com/dreveman,"New York, NY",United States
PowerToys,https://github.com/microsoft/PowerToys,zanseb,https://github.com/zanseb,Italy,Italy
transformers,https://github.com/huggingface/transformers,albertvillanova,https://github.com/albertvillanova,Paris (France),France
vscode,https://github.com/microsoft/vscode,ChrisPapp,https://github.com/ChrisPapp,"Athens, Greece",Greece
bootstrap,https://github.com/twbs/bootstrap,deilv,https://github.com/deilv,"Athens, Greece",Greece
flutter,https://github.com/flutter/flutter,natebosch,https://github.com/natebosch,"Seattle, WA",United States
PowerToys,https://github.com/microsoft/PowerToys,rdeveen,https://github.com/rdeveen,The Netherlands,Netherlands
ollama,https://github.com/ollama/ollama,richawo,https://github.com/richawo,"London, UK",United Kingdom
react,https://github.com/facebook/react,kassens,https://github.com/kassens,"New York, New York",United States
ollama,https://github.com/ollama/ollama,rjmacarthy,https://github.com/rjmacarthy,The Wilderness ,United Kingdom
vscode,https://github.com/microsoft/vscode,susiwen8,https://github.com/susiwen8,Hangzhou,China
bootstrap,https://github.com/twbs/bootstrap,javiereguiluz,https://github.com/javiereguiluz,Vitoria-Gasteiz (Spain),Spain
flutter,https://github.com/flutter/flutter,derekxu16,https://github.com/derekxu16,"Cambridge, MA",Morocco
PowerToys,https://github.com/microsoft/PowerToys,BenConstable9,https://github.com/BenConstable9,UK,United Kingdom
pytorch,https://github.com/pytorch/pytorch,apaszke,https://github.com/apaszke,"Berlin, Germany",Germany
