repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,reviews_submitted,stars_own_repos,stars_contrib_repos,contribution_period,activity_frequency,activity_regularidade,permission_level
transformers,https://github.com/huggingface/transformers,ztjhz,https://github.com/ztjhz,Singapore,Singapore,6,5,83.33,5.91,5,1,0,8597,43.27,1,0.0136986301369863,0.0136986301369863,contributor
n8n,https://github.com/n8n-io/n8n,mcat-ee,https://github.com/mcat-ee,"Adelaide, Australia",Australia,2,1,50.0,100.8,1,1,0,8,13.02,1,0.0027397260273972603,0.0027397260273972603,contributor
flutter,https://github.com/flutter/flutter,josh-burton,https://github.com/josh-burton,"Auckland, New Zealand",New Zealand,10,6,60.0,520.18,6,27,8,14,23.17,1,0.01643835616438356,0.01643835616438356,contributor
flutter,https://github.com/flutter/flutter,edman,https://github.com/edman,"Munich, Germany",Germany,6,5,83.33,248.65,6,1,4,7,19.3,1,0.01643835616438356,0.01643835616438356,contributor
react-native,https://github.com/facebook/react-native,amasad,https://github.com/amasad,"Bay Area, CA",Canada,6,6,100.0,2.29,39,3,0,1472,793.38,3,0.10684931506849316,0.10684931506849316,contributor
n8n,https://github.com/n8n-io/n8n,ToBeHH,https://github.com/ToBeHH,"Hamburg, Germany",Germany,3,1,33.33,17.87,1,0,0,19,13.02,1,0.0027397260273972603,0.0027397260273972603,contributor
flutter,https://github.com/flutter/flutter,grouma,https://github.com/grouma,"Seattle, Washington",United States,10,7,70.0,168.31,7,8,28,6,27.03,1,0.019178082191780823,0.019178082191780823,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,vilanz,https://github.com/vilanz,"Curitiba, Brazil",Brazil,1,1,100.0,45.05,1,0,0,15,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
n8n,https://github.com/n8n-io/n8n,tcurdt,https://github.com/tcurdt,Berlin,Germany,1,1,100.0,24.05,1,0,0,2522,13.02,1,0.0027397260273972603,0.0027397260273972603,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,kpsonGG,https://github.com/kpsonGG,India,India,1,1,100.0,2785.1,1,0,0,2,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
react-native,https://github.com/facebook/react-native,JoelMarcey,https://github.com/JoelMarcey,California,United States,46,7,15.22,6.48,39,9,6,8,925.61,3,0.10684931506849316,0.10684931506849316,contributor
flutter,https://github.com/flutter/flutter,amanv8060,https://github.com/amanv8060,"Bangalore, India",India,8,6,75.0,1236.96,6,8,8,64,23.17,1,0.01643835616438356,0.01643835616438356,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,dolgachio,https://github.com/dolgachio,"Kyiv, Ukraine",Ukraine,1,1,100.0,2066.76,1,0,0,15,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
transformers,https://github.com/huggingface/transformers,jeffra,https://github.com/jeffra,"Seattle, WA",United States,4,4,100.0,21.84,4,1,1,26,34.62,1,0.010958904109589041,0.010958904109589041,contributor
flutter,https://github.com/flutter/flutter,whiskeyPeak,https://github.com/whiskeyPeak,"Exeter, United Kingdom",United Kingdom,9,6,66.67,384.32,6,27,5,3,23.17,1,0.01643835616438356,0.01643835616438356,contributor
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,pavoljuhas,https://github.com/pavoljuhas,"Venice, CA",Canada,3,3,100.0,1334.79,5,0,0,37,160.86,1,0.0136986301369863,0.0136986301369863,contributor
react-native,https://github.com/facebook/react-native,thymikee,https://github.com/thymikee,"Krakow/Wroclaw, Poland",Poland,46,4,8.7,69.51,39,1,65,946,528.92,3,0.10684931506849316,0.10684931506849316,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,surajhell88,https://github.com/surajhell88,Mumbai,India,1,1,100.0,1561.38,1,0,0,17,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,vcgtz,https://github.com/vcgtz,México,Mexico,1,1,100.0,21334.37,1,0,0,8,646.31,1,0.0027397260273972603,0.0027397260273972603,contributor
react-native,https://github.com/facebook/react-native,christopherdro,https://github.com/christopherdro,"Los Angeles, CA",Canada,32,5,15.62,7.54,32,3,1,1619,661.15,3,0.08767123287671233,0.08767123287671233,contributor
