login,repo_name,country,country_type,performance_score,pr_accept_rate,pr_accept_rate_norm,prs_opened,prs_opened_norm,commits_total,commits_total_norm,activity_frequency,activity_frequency_norm
karlhorky,excalidraw,Netherlands,developed,0.004230007087863354,33.33,0.3333,3,0.0004046944556859571,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
fabien0102,excalidraw,Germany,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
nishanthkarthik,excalidraw,Canada,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
vincentfretin,excalidraw,France,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
emmanuel-ferdman,excalidraw,Israel,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
YouriTjang,excalidraw,Netherlands,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
devbrock,excalidraw,United States,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
andelf,excalidraw,中国,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
dvir,excalidraw,United Kingdom,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
anirban09,excalidraw,Netherlands,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
yubinTW,excalidraw,Taiwan,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
marcofranssen,excalidraw,Netherlands,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
abhi12299,excalidraw,India,emerging,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
jeremymouzin,excalidraw,France,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
chrsep,excalidraw,Indonesia,emerging,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
1fbr,excalidraw,Spain,developed,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
christophepas,excalidraw,France,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
lynda0214,excalidraw,臺灣,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
WabweniBrian,excalidraw,Uganda,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
jonasbleyl,excalidraw,United Kingdom,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
aashmanVerma,excalidraw,India,emerging,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
defint,excalidraw,United States,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
mishankov,excalidraw,Россия,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
Contextualist,excalidraw,China,emerging,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
DevKrieger,excalidraw,Switzerland,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
lorisdev,excalidraw,France,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
ArchishmanSengupta,excalidraw,India,emerging,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
johann-sonntagbauer,excalidraw,Austria,developed,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
agebhar1,excalidraw,Germany,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
akib22,excalidraw,Germany,developed,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
ChinmayMhatre,excalidraw,India,emerging,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
LucaColonnello,excalidraw,United Kingdom,developed,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
hazemKrimi,excalidraw,Tunisia,emerging,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
brandstetterm,excalidraw,Germany,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
hampuslavin,excalidraw,Sweden,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
ggallon,excalidraw,France,developed,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
ignacio-cuadra,excalidraw,Chile,emerging,0.004230007087863354,33.33,0.3333,3,0.0004046944556859571,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
yoshi2no,excalidraw,Japan,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
mauriceLC92,excalidraw,South Africa,emerging,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
jasonpraful,excalidraw,United Kingdom,developed,0.004230007087863354,33.33,0.3333,3,0.0004046944556859571,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
ObstinateM,excalidraw,France,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
sunag,three.js,Brazil,emerging,0.08484286274810506,95.64,0.9564,1033,0.13934979090786456,1477,0.04852487022800447,4.046575342465753,0.04852487022800447
kaisalmen,three.js,Germany,developed,0.01427272625017922,90.48,0.9048,42,0.0056657223796034,68,0.0022340495433339903,0.1863013698630137,0.0022340495433339908
LeviPesin,three.js,Australia,developed,0.01748571481930086,79.14,0.7914,139,0.018750843113449347,110,0.003613903673040279,0.3013698630136986,0.0036139036730402784
MehediH,excalidraw,United Kingdom,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
G0WTHAM-SELVARAJ,excalidraw,India,emerging,0.004230007087863354,33.33,0.3333,3,0.0004046944556859571,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
hassanMuhamad,three.js,تونس,developed,0.014052865308206746,93.75,0.9375,16,0.0021583704303251047,83,0.0027268545896576646,0.2273972602739726,0.002726854589657665
donmccurdy,three.js,United States,developed,0.03812681604452856,91.8,0.9179999999999999,451,0.06083906650478888,428,0.014061370655102176,1.1726027397260277,0.01406137065510218
Kissaki,excalidraw,Germany,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
takahirox,three.js,日本,developed,0.04757243661734309,88.56,0.8856,472,0.06367192769459058,816,0.026808594520007886,2.2356164383561645,0.02680859452000789
mxstbr,excalidraw,Canada,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
jeffeb3,excalidraw,Colombia,emerging,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
eltociear,excalidraw,Japan,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
Oletus,three.js,Finland,developed,0.01338285206805629,78.33,0.7833,60,0.008093889113719142,65,0.0021354885340692555,0.1780821917808219,0.0021354885340692555
RenaudRohlinger,three.js,Japan,developed,0.024393270759625458,88.03,0.8803,234,0.03156616754350466,207,0.006800709639266706,0.5671232876712329,0.006800709639266707
looeee,three.js,Ireland,developed,0.037828305856295194,91.3,0.9129999999999999,276,0.03723188992310805,698,0.022931861488928312,1.9123287671232876,0.022931861488928312
gregtatum,three.js,United States,developed,0.01417461606387851,93.94,0.9394,33,0.004451639012545528,60,0.001971220185294697,0.1643835616438356,0.001971220185294697
guillaumebriday,excalidraw,France,developed,0.006240510474459863,50.0,0.5,2,0.0002697963037906381,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
bendersej,excalidraw,Estonia,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
jeremypress,excalidraw,United States,developed,0.008325766465928456,66.67,0.6667000000000001,3,0.0004046944556859571,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
khalsah,excalidraw,United States,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
paulmasson,three.js,United States,developed,0.01589870302247457,85.54,0.8554,83,0.01119654660731148,98,0.003219659635981339,0.2684931506849315,0.0032196596359813394
jeremyscatigna,excalidraw,France,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
zz85,three.js,United States,developed,0.01937115420508846,83.67,0.8367,49,0.0066100094428706326,311,0.010217491293777515,0.852054794520548,0.010217491293777517
jguddas,excalidraw,Denmark,developed,0.012345544757004478,100.0,1.0,1,0.00013489815189531904,1,3.2853669754911625e-05,0.0027397260273972,3.28536697549109e-05
daoshengmu,three.js,Canada,developed,0.013286821503250253,93.33,0.9333,15,0.0020234722784297854,54,0.0017740981667652277,0.147945205479452,0.001774098166765227
