repo_name,repo_id,repo_url,login,profile_url,location,country
core,12888993,https://github.com/home-assistant/core,bdraco,https://github.com/bdraco,"Houston, TX",United States
bun,357728969,https://github.com/oven-sh/bun,dylan-conway,https://github.com/dylan-conway,"San Francisco, California",United States
manim,32689863,https://github.com/3b1b/manim,DanWaxman,https://github.com/DanWaxman,"Stony Brook, New York",United States
gemini-cli,968197216,https://github.com/google-gemini/gemini-cli,jakemac53,https://github.com/jakemac53,"Kenmore, WA",United States
FiraCode,26500787,https://github.com/tonsky/FiraCode,natestedman,https://github.com/natestedman,Brooklyn,United States
clash-verge-rev,721767116,https://github.com/clash-verge-rev/clash-verge-rev,hiaoxui,https://github.com/hiaoxui,United States,United States
devops-exercises,212639071,https://github.com/bregman-arie/devops-exercises,PritomDas,https://github.com/PritomDas,Dallas,United States
awesome-for-beginners,44882201,https://github.com/MunGell/awesome-for-beginners,omalyutin,https://github.com/omalyutin,"Stuttgart, Germany",Germany
spring-boot,6296790,https://github.com/spring-projects/spring-boot,runningcode,https://github.com/runningcode,Berlin,Germany
playwright,221981891,https://github.com/microsoft/playwright,muhqu,https://github.com/muhqu,"Hamburg, Germany",Germany
advanced-java,151834062,https://github.com/doocs/advanced-java,kid1412621,https://github.com/kid1412621,Outerspace,Brazil
ML-For-Beginners,343965132,https://github.com/microsoft/ML-For-Beginners,ornelladotcom,https://github.com/ornelladotcom,"San Francisco, California",United States
awesome-interview-questions,47018239,https://github.com/DopplerHQ/awesome-interview-questions,FrederikS,https://github.com/FrederikS,Berlin,Germany
weekly,152870372,https://github.com/ruanyf/weekly,mddanishyusuf,https://github.com/mddanishyusuf,India,India
models,51117837,https://github.com/tensorflow/models,hawkinsp,https://github.com/hawkinsp,"Princeton, NJ",Brazil
system-design-101,693342566,https://github.com/ByteByteGoHq/system-design-101,lucasberti,https://github.com/lucasberti,Brazil,Brazil
uptime-kuma,382496361,https://github.com/louislam/uptime-kuma,jensneuber,https://github.com/jensneuber,"Cologne, Germany",Germany
LLMs-from-scratch,669879380,https://github.com/rasbt/LLMs-from-scratch,d-kleine,https://github.com/d-kleine,"Berlin, Germany",Germany
syncthing,14712850,https://github.com/syncthing/syncthing,andersonvom,https://github.com/andersonvom,"Washington, DC",United States
gpt4all,619959033,https://github.com/nomic-ai/gpt4all,nightscape,https://github.com/nightscape,"Regensburg, Germany",Germany
github-readme-stats,278335273,https://github.com/anuraghazra/github-readme-stats,sagar-gavhane,https://github.com/sagar-gavhane,India,India
hoppscotch,203587744,https://github.com/hoppscotch/hoppscotch,AndrewBastin,https://github.com/AndrewBastin,"Kochi, Kerala, India",India
netdata,10744183,https://github.com/netdata/netdata,Ferroin,https://github.com/Ferroin,"Kettering, Ohio, USA",United States
LeetCodeAnimation,160640094,https://github.com/MisterBooo/LeetCodeAnimation,peteryuhang,https://github.com/peteryuhang,"San Jose, CA",United States
vite,257485422,https://github.com/vitejs/vite,tony19,https://github.com/tony19,USA,United States
